,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2011-12,23,NJN,NBA,SG,56,47,29.4,4.9,11.4,.428,0.8,2.7,.313,4.1,8.8,.463,.465,2.0,2.6,.764,1.3,2.3,3.6,2.3,0.9,0.3,2.1,2.1,12.6
2,2012-13,24,BRK,NBA,SG,73,2,12.5,2.1,4.6,.463,0.2,0.8,.273,1.9,3.8,.500,.485,0.9,1.3,.734,0.4,1.0,1.4,1.0,0.5,0.2,0.9,1.3,5.4
3,2013-14,25,TOT,NBA,SG,35,0,9.0,1.6,3.6,.456,0.4,0.7,.520,1.3,2.9,.440,.508,0.9,1.3,.727,0.3,1.3,1.5,0.7,0.4,0.1,0.7,0.6,4.5
4,2013-14,25,BOS,NBA,SG,10,0,7.3,0.9,2.4,.375,0.2,0.4,.500,0.7,2.0,.350,.417,1.1,1.4,.786,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,3.1
5,2013-14,25,GSW,NBA,SG,7,0,2.1,0.7,1.9,.385,0.0,0.3,.000,0.7,1.6,.455,.385,0.4,0.6,.750,0.1,0.6,0.7,0.0,0.1,0.0,0.0,0.0,1.9
6,2013-14,25,LAL,NBA,SG,18,0,12.7,2.4,4.9,.489,0.6,1.1,.579,1.8,3.8,.464,.551,1.0,1.4,.692,0.4,1.2,1.7,1.2,0.7,0.2,0.9,0.9,6.4
7,Career,,,NBA,,164,49,17.5,3.0,6.7,.442,0.5,1.4,.326,2.5,5.3,.472,.476,1.3,1.7,.748,0.7,1.5,2.2,1.4,0.6,0.2,1.3,1.4,7.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,"NJN,BRK",NBA,,129,49,19.8,3.3,7.6,.440,0.5,1.6,.302,2.8,6.0,.477,.472,1.4,1.9,.752,0.8,1.6,2.4,1.6,0.7,0.2,1.4,1.6,8.5
10,1 season,,LAL,NBA,,18,0,12.7,2.4,4.9,.489,0.6,1.1,.579,1.8,3.8,.464,.551,1.0,1.4,.692,0.4,1.2,1.7,1.2,0.7,0.2,0.9,0.9,6.4
11,1 season,,BOS,NBA,,10,0,7.3,0.9,2.4,.375,0.2,0.4,.500,0.7,2.0,.350,.417,1.1,1.4,.786,0.1,1.8,1.9,0.4,0.1,0.1,0.7,0.5,3.1
12,1 season,,GSW,NBA,,7,0,2.1,0.7,1.9,.385,0.0,0.3,.000,0.7,1.6,.455,.385,0.4,0.6,.750,0.1,0.6,0.7,0.0,0.1,0.0,0.0,0.0,1.9
