,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,22,TOT,NBA,SG,60,0,12.0,1.7,4.5,.388,0.7,2.2,.318,1.0,2.3,.456,.466,0.5,0.7,.795,0.2,1.5,1.7,0.7,0.3,0.1,0.4,0.9,4.7
1,22,MIL,NBA,SG,41,0,11.9,1.6,4.3,.362,0.6,2.0,.280,1.0,2.3,.432,.427,0.4,0.5,.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1
2,22,PHI,NBA,SG,19,0,12.3,2.1,4.8,.440,1.0,2.6,.380,1.1,2.2,.512,.544,0.7,0.9,.722,0.2,1.2,1.4,0.9,0.3,0.1,0.3,1.0,5.9
3,23,PHI,NBA,SG,74,64,27.9,3.3,7.7,.425,1.9,4.7,.397,1.4,3.0,.468,.546,2.1,2.3,.894,0.3,2.0,2.3,1.1,0.9,0.1,0.8,1.3,10.5
4,24,PHI,NBA,SG,66,50,24.9,2.9,7.1,.409,1.5,4.0,.365,1.4,3.0,.468,.513,1.2,1.3,.906,0.3,2.2,2.4,0.8,0.6,0.0,0.4,1.2,8.4
5,25,LAL,NBA,SG,78,10,21.3,2.6,6.8,.387,1.6,4.4,.357,1.1,2.4,.441,.502,1.1,1.2,.896,0.5,1.7,2.2,0.9,0.7,0.1,0.7,1.3,7.9
6,26,LAL,NBA,SG,77,70,33.2,5.4,11.6,.463,2.1,5.2,.401,3.3,6.3,.514,.554,2.9,3.4,.857,0.4,2.1,2.5,1.8,1.4,0.1,1.4,1.5,15.7
7,27,DET,NBA,SG,60,0,24.4,3.7,8.9,.416,1.2,3.5,.349,2.5,5.4,.460,.485,2.4,2.7,.906,0.2,1.5,1.7,1.3,1.0,0.1,1.0,1.3,11.1
8,28,DET,NBA,SG,3,0,14.3,2.3,6.7,.350,1.3,3.0,.444,1.0,3.7,.273,.450,1.3,1.3,1.000,0.3,1.3,1.7,1.0,0.0,0.0,0.3,0.7,7.3
9,29,ORL,NBA,SG,36,10,20.5,2.9,7.1,.402,1.6,3.8,.409,1.3,3.3,.395,.512,1.8,2.1,.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1
10,,,NBA,,454,204,24.0,3.3,7.8,.420,1.5,4.1,.376,1.7,3.7,.469,.519,1.7,2.0,.881,0.3,1.9,2.2,1.1,0.8,0.1,0.8,1.3,9.8
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,PHI,NBA,,159,114,24.8,3.0,7.1,.419,1.6,4.2,.383,1.4,2.9,.472,.532,1.5,1.7,.886,0.3,2.0,2.3,0.9,0.7,0.1,0.6,1.2,9.1
13,,LAL,NBA,,155,80,27.2,4.0,9.2,.435,1.8,4.8,.381,2.2,4.4,.494,.534,2.0,2.3,.867,0.4,1.9,2.4,1.3,1.1,0.1,1.1,1.4,11.8
14,,DET,NBA,,63,0,23.9,3.6,8.8,.413,1.2,3.5,.353,2.4,5.3,.453,.484,2.4,2.6,.909,0.2,1.5,1.7,1.3,0.9,0.1,0.9,1.2,10.9
15,,MIL,NBA,,41,0,11.9,1.6,4.3,.362,0.6,2.0,.280,1.0,2.3,.432,.427,0.4,0.5,.857,0.1,1.6,1.8,0.5,0.3,0.1,0.5,0.8,4.1
16,,ORL,NBA,,36,10,20.5,2.9,7.1,.402,1.6,3.8,.409,1.3,3.3,.395,.512,1.8,2.1,.878,0.1,2.0,2.1,1.3,0.9,0.1,1.0,1.1,9.1
